Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
98,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Masculino,40,Eduardo Antonio Artés Brichetti,6915c6d1-021b-3668-dc3a-85f1351a82b0,Jeannette Jara,Algo de acuerdo,1,1
101,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,40,Evelyn Matthei Fornet,6915c6d4-3da7-9da4-7a42-890225d14ff3,Jeannette Jara,"Algo en desacuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
112,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Femenino,71,Jeannette Jara Román,6915c6d8-f294-8bae-c417-d9b09d996287,José Antonio Kast,Totalmente en desacuerdo,1,1
107,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Extremadamente importante,Masculino,67,Jeannette Jara Román,6915c6e0-0128-962d-d15f-fed185f485a4,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
103,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,30,José Antonio Kast Rist,6915c6e4-8aeb-8551-3d4e-26f4e1be814d,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
116,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,28,Jeannette Jara Román,6915c6e9-8758-80ab-3ad0-42fbee406e46,José Antonio Kast,Totalmente en desacuerdo,1,1
140,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Femenino,43,Evelyn Matthei Fornet,6915c6e8-a804-2a85-a20e-50b2423a232a,Jeannette Jara,Ni de acuerdo ni en desacuerdo,1,1
108,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,25,Harlod Mayne-Nicholls Sécul,6915c6f0-7148-2d5b-9d0f-a9a374b6a9d0,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Algo en desacuerdo",1,1
109,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,62,José Antonio Kast Rist,6915c6ef-c30d-824d-eb59-e34f884bdff0,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
249,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,51,José Antonio Kast Rist,6915c6f0-3cfc-97ec-d8e9-55b4efa41a7e,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
90,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Moderadamente importante,Masculino,32,José Antonio Kast Rist,6915c6f3-5055-8608-21c2-aec1635fbe3e,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
285,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,54,Johannes Kaiser Barents-von Hohenhagen,6915c6f0-2e8b-7b99-ae9b-7be61d51702e,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
84,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,46,Evelyn Matthei Fornet,6915c6fc-eace-dab0-56a0-dbdc1d2f9401,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
296,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,45,Harlod Mayne-Nicholls Sécul,6915c703-af7f-94aa-1fb6-3e6ba1d5c937,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
104,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,49,Jeannette Jara Román,6915c703-68b1-f3e5-88be-500f3ba2cb56,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
215,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Muy importante,Femenino,35,José Antonio Kast Rist,6915c71b-6ca5-cc6f-0496-593a92d64c61,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
224,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Nada importante,Masculino,47,Johannes Kaiser Barents-von Hohenhagen,6915c71d-0d8c-a2e8-966d-1c559e73971d,Jeannette Jara,Totalmente en desacuerdo,1,1
155,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Moderadamente importante,Masculino,50,Evelyn Matthei Fornet,6915c724-b23f-21d1-41fc-ade75874c6af,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo de acuerdo, Algo en desacuerdo",1,1
139,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,20,Jeannette Jara Román,6915c724-527c-1cd5-223b-3dee2e0e2c8c,Jeannette Jara,Totalmente de acuerdo,1,1
99,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,18,José Antonio Kast Rist,6915c727-3cbc-0e78-07be-25d1b16db109,José Antonio Kast,Totalmente de acuerdo,1,1
3968,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Otro,Centro ,,,Más cercano con la Derecha,Muy importante,Masculino,57,José Antonio Kast Rist,6915c729-a59c-88d4-d7b7-d088b12d3333,Jeannette Jara,Totalmente en desacuerdo,1,1
213,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Poco importante,Femenino,41,Marco Antonio Enríquez-Ominami Gumucio,6915c72f-1e45-e049-3d88-4200a3ae0e2f,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
127,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,38,Johannes Kaiser Barents-von Hohenhagen,6915c737-bb2a-12ac-9196-7706c9abd711,José Antonio Kast,"Algo de acuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
222,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,27,Jeannette Jara Román,6915c73e-4516-abf5-2a63-adc92601f668,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
130,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,31,Evelyn Matthei Fornet,6915c741-c2c5-5fc3-ea1d-55017f8afe06,Jeannette Jara,Totalmente en desacuerdo,1,1
128,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,52,Jeannette Jara Román,6915c752-0dd0-343f-3515-0e68caec9daf,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
140,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,26,Jeannette Jara Román,6915c755-ef9e-0b1d-2815-95f335677307,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
154,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Masculino,52,José Antonio Kast Rist,6915c75d-7f45-5b45-d23f-f6a925022ddb,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
130,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,47,José Antonio Kast Rist,6915c75d-566e-1b44-cc39-078fb198df3c,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
114,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,45,Evelyn Matthei Fornet,6915c76c-93f5-76f1-a8e7-f748a891222e,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
105,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Otro,,,,Ninguno,Moderadamente importante,Femenino,33,Franco Parisi Fernández,6915c76e-63a9-c8d4-8fd4-d10c8cb3d45b,Jeannette Jara,Ni de acuerdo ni en desacuerdo,1,1
157,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,29,José Antonio Kast Rist,6915c778-95ee-c5f9-aade-7a883267d941,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
129,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Poco importante,Masculino,35,Harlod Mayne-Nicholls Sécul,6915c77b-e47e-90df-7063-0561f8a637a8,José Antonio Kast,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo de acuerdo",1,1
148,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,49,José Antonio Kast Rist,6915c777-01f0-b01d-d72c-28cd244d1ebf,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
172,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,75,Evelyn Matthei Fornet,6915c77a-0459-475b-5c2e-83fcbc985644,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
83,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,19,Evelyn Matthei Fornet,6915c77d-855d-e6e3-c919-80d637f9b053,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
98,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,56,Jeannette Jara Román,6915cd4c-8df2-5496-f7d0-fc484fd5ae6e,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
236,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Masculino,63,José Antonio Kast Rist,6915cdf4-1d98-6740-7b95-c8f7c3cbdfc2,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
277,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Masculino,74,Jeannette Jara Román,6915ce13-80d1-d15b-acc5-a143cd0bd042,José Antonio Kast,Totalmente en desacuerdo,1,1
137,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,63,José Antonio Kast Rist,6915ce93-7ef3-fded-da6e-ffafb8e11c5d,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
337,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Otro,Centro izquierda,,,Más cercano con la Izquierda,Muy importante,Masculino,61,Jeannette Jara Román,6915cef7-0f88-b6de-b0dd-0ba0deafcc5f,Jeannette Jara,Totalmente de acuerdo,1,1
186,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Masculino,56,Evelyn Matthei Fornet,6915cf08-e95d-868f-bc7c-a2d7fd706b8e,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
216,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,55,Johannes Kaiser Barents-von Hohenhagen,6915cf4d-854c-a138-2847-e40120c74e74,José Antonio Kast,"Algo de acuerdo, Algo en desacuerdo",1,1
73,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Masculino,57,Evelyn Matthei Fornet,6915cfee-d3f3-cee5-db76-7ae6cb0dd777,Jeannette Jara,Totalmente en desacuerdo,1,1
171,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Nada importante,Masculino,69,José Antonio Kast Rist,6915d2d2-b920-b0ef-754d-d68455e27fa4,Jeannette Jara,"Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
146,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Nada importante,Masculino,56,Jeannette Jara Román,6915d4b5-ed5e-ec92-3d80-40f7754f07e0,José Antonio Kast,Totalmente en desacuerdo,1,1
244,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Masculino,71,José Antonio Kast Rist,6915d8c9-3ae4-fdaf-2f3b-1c0d86934e34,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
